event,taxaGroup,rep,cpmE,CmnCpm,CRmlcd
YBP1,CilLg,3,1.830065359,9.017946905,39.53936172
YBP1,CilSm,1,13.7512107,25.04096809,14.85978624
YBP1,CilSm,2,11.9178297,25.04096809,18.40725802
YBP1,CilSm,3,12.44942421,25.04096809,17.32537941
YBP1,FlagSm,1,248.1350016,389.3461567,11.16854298
YBP1,FlagSm,2,313.064177,389.3461567,5.406085788
YBP1,FlagSm,3,257.08061,389.3461567,10.29050312
YBP1,Other,1,47.41975471,72.05023729,10.37096672
YBP1,Other,2,73.39501333,72.05023729,-0.458456901
YBP1,Other,3,66.3741052,72.05023729,2.034320305
YBP2,CenDiaLg,1,1.291405695,34.3714337,81.35371763
YBP2,CenDiaLg,2,4.71359697,34.3714337,49.25545113
YBP2,CenDiaLg,3,3.74186551,34.3714337,54.97902928
YBP2,CenDiaSm,1,53.50109308,184.3483284,30.67038992
YBP2,CenDiaSm,2,4.304654767,184.3483284,93.14551745
YBP2,CenDiaSm,3,42.93203181,184.3483284,36.126636
YBP2,CilLg,1,1.549686834,8.540315925,42.31305641
YBP2,CilLg,2,3.680479826,8.540315925,20.86850614
YBP2,CilLg,3,0.28922632,8.540315925,83.92831468
YBP2,CilSm,1,18.02433377,57.66701573,28.83178206
YBP2,CilSm,2,2.697583654,57.66701573,75.92023805
YBP2,CilSm,3,19.45046999,57.66701573,26.94393352
YBP2,FlagSm,1,213.0819397,237.2915375,2.667898584
YBP2,FlagSm,2,149.7063269,237.2915375,11.41938743
YBP2,FlagSm,3,229.1214751,237.2915375,0.868630074
YBP2,Other,1,263.6312483,454.9904806,13.52943618
YBP2,Other,2,274.364346,454.9904806,12.54010953
YBP2,Other,3,479.989154,454.9904806,-1.326032144
